osver,release,arch,date,title,kb,updateID,files,sha1
10,21H2,x64,2025-04,2025-04 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5055518),KB5055518,1dc17de9-4f65-41c5-986d-63506478420d,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2025/04/windows10.0-kb5055518-x64_0504a2aa182fc23d9651dd6842b7e6388a0ee07b.msu'],['0504a2aa182fc23d9651dd6842b7e6388a0ee07b']
10,21H2,x64,2025-05,2025-05 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5061979),KB5061979,94ae2cb1-2084-4e76-b11e-a46b7fa45611,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/updt/2025/05/windows10.0-kb5061979-x64_08a8b6833dfd507c47dec771f51cea58e3ae0a5f.msu'],['08a8b6833dfd507c47dec771f51cea58e3ae0a5f']
10,21H2,x64,2025-06,2025-06 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5060533),KB5060533,8c214d5e-ef2e-446f-95de-2eb5d4238d3d,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2025/06/windows10.0-kb5060533-x64_dbb8353c12c9760b0c56a8834719b68a01a20abb.msu'],['dbb8353c12c9760b0c56a8834719b68a01a20abb']
10,21H2,x64,2024-01,2024-01 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5034122),KB5034122,72f6d272-b8ef-4740-b4e3-6041f675da10,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/01/windows10.0-kb5034122-x64_b3617870ef7f18b6052a1c42d9bf0f3b1f8d936f.cab'],['b3617870ef7f18b6052a1c42d9bf0f3b1f8d936f']
10,21H2,x64,2024-02,2024-02 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5034763),KB5034763,f995b160-5252-4d36-89cc-3fadad9d6e57,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/02/windows10.0-kb5034763-x64_a381c0ece7882aefb9aeb871b3a2c2cadea25eca.cab'],['a381c0ece7882aefb9aeb871b3a2c2cadea25eca']
10,21H2,x64,2024-03,2024-03 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5035845),KB5035845,11e654aa-0c21-47f6-bf7b-43f511939b00,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/03/windows10.0-kb5035845-x64_7f80d9768019dbdad2cf65cdd6f97e8f0b1f93ab.cab'],['7f80d9768019dbdad2cf65cdd6f97e8f0b1f93ab']
10,21H2,x64,2024-04,2024-04 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5036892),KB5036892,9bc59a2d-efa3-4fc8-beda-dccdf6abf8a2,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/04/windows10.0-kb5036892-x64_b720a10dc354dfddd9da543ece75b291b11a0131.cab'],['b720a10dc354dfddd9da543ece75b291b11a0131']
10,21H2,x64,2024-05,2024-05 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5037768),KB5037768,6541bfd1-ce11-40d5-bed8-df5106ca6c86,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/05/windows10.0-kb5037768-x64_b0e9e78754b983338ac8eb90a280090762010c94.cab'],['b0e9e78754b983338ac8eb90a280090762010c94']
10,21H2,x64,2024-06,2024-06 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5039211),KB5039211,0287938c-999d-498f-bf89-376e11fb7a2c,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/06/windows10.0-kb5039211-x64_2d86e5b028c31ac601f5611ccc9ccadffef2351a.cab'],['2d86e5b028c31ac601f5611ccc9ccadffef2351a']
10,21H2,x64,2024-07,2024-07 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5040427),KB5040427,7ec3a6de-a64c-4024-93ac-8255ee89aa67,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/07/windows10.0-kb5040427-x64_a47e0ad9acf4998546fe98a6a539b60fd67d6515.cab'],['a47e0ad9acf4998546fe98a6a539b60fd67d6515']
